customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00090,Female,0,Yes,Yes,11,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,93.79,1033.39,1
CUST00091,Female,0,Yes,No,35,Yes,Yes,DSL,No,No internet service,No,Yes,No,Yes,One year,Yes,Mailed check,60.95,2129.53,0
CUST00092,Female,0,No,Yes,22,No,No phone service,DSL,No,No internet service,No internet service,No,Yes,Yes,One year,No,Bank transfer,113.88,2507.58,0
CUST00093,Female,0,Yes,Yes,26,No,No,DSL,No,No,No internet service,Yes,No internet service,No,Month-to-month,No,Bank transfer,77.36,2012.86,0
CUST00094,Female,0,Yes,Yes,13,Yes,No phone service,No,No internet service,Yes,No,No,Yes,No,Two year,No,Mailed check,108.63,1392.4,0
CUST00095,Female,0,No,No,53,Yes,No phone service,DSL,No,No internet service,No internet service,No,No,No,Two year,Yes,Bank transfer,45.72,2431.18,1
CUST00096,Female,0,Yes,No,26,Yes,Yes,No,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,114.69,2985.44,1
CUST00097,Female,1,No,Yes,20,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer,41.69,838.0,0
CUST00098,Female,0,No,Yes,48,No,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,114.57,5490.27,0
CUST00099,Male,0,No,Yes,61,Yes,No,No,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,107.57,6579.92,0
CUST00100,Male,0,Yes,Yes,71,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,Yes,One year,No,Electronic check,40.21,2849.86,0
CUST00101,Female,0,Yes,Yes,43,Yes,No,DSL,No,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer,85.67,3673.57,0
CUST00102,Female,0,Yes,No,43,Yes,No phone service,DSL,No,No internet service,No,Yes,No internet service,Yes,One year,Yes,Electronic check,56.92,2428.84,1
CUST00103,Female,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,60.16,3613.41,0
CUST00104,Female,0,Yes,No,41,Yes,No phone service,DSL,No,No,No internet service,No,No,Yes,One year,Yes,Bank transfer,23.95,995.32,0
CUST00105,Female,0,Yes,Yes,22,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Electronic check,102.84,2250.15,0
CUST00106,Female,0,Yes,No,0,Yes,No,No,No internet service,No,No,No internet service,Yes,No,One year,Yes,Credit card,45.96,7.26,0
CUST00107,Female,0,Yes,No,35,No,No,Fiber optic,No internet service,No,No,No,Yes,No,Two year,Yes,Credit card,96.88,3370.97,0
CUST00108,Female,0,Yes,No,54,No,Yes,DSL,Yes,No internet service,No,No,No internet service,No,One year,Yes,Electronic check,78.92,4265.48,0
CUST00109,Male,1,No,No,15,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No,Yes,Two year,No,Electronic check,117.08,1739.03,0
CUST00110,Female,0,Yes,Yes,17,Yes,No,DSL,No,Yes,Yes,Yes,No,No internet service,Two year,No,Electronic check,40.08,697.23,0
CUST00111,Male,0,Yes,Yes,37,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,Yes,One year,Yes,Credit card,52.05,1917.28,0
CUST00112,Female,0,Yes,No,66,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer,36.65,2418.51,0
CUST00113,Female,0,No,Yes,19,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card,103.23,1957.02,0
CUST00114,Male,0,No,Yes,18,Yes,No phone service,DSL,No,Yes,No,No internet service,No,No internet service,Two year,No,Electronic check,53.03,957.68,0
CUST00115,Female,0,Yes,Yes,12,Yes,Yes,DSL,No,Yes,No,No,Yes,No internet service,One year,No,Credit card,39.51,466.66,0
CUST00116,Male,0,No,Yes,16,Yes,No phone service,No,No internet service,No,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,79.2,1284.21,0
CUST00117,Female,0,Yes,No,29,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,57.76,1668.05,0
CUST00118,Female,0,No,Yes,42,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,No,No internet service,Two year,No,Electronic check,101.22,4252.18,0
CUST00119,Male,0,Yes,Yes,47,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,96.37,4525.44,0
CUST00120,Female,0,No,No,42,Yes,No,DSL,No,Yes,Yes,No internet service,No,No internet service,Two year,No,Credit card,31.99,1332.81,0
CUST00121,Male,0,No,No,65,No,No,No,No,No,No,No internet service,No,Yes,Two year,No,Credit card,105.59,6882.97,0
CUST00122,Female,0,No,No,52,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No,One year,No,Credit card,118.26,6156.49,1
CUST00123,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,No internet service,Two year,No,Electronic check,95.09,6751.88,1
CUST00124,Male,0,Yes,No,33,Yes,No phone service,DSL,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer,102.4,3385.13,0
CUST00125,Female,0,No,No,71,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Two year,Yes,Electronic check,111.74,7933.93,0
CUST00126,Female,0,Yes,No,70,Yes,Yes,No,No internet service,No,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,98.59,6911.55,0
CUST00127,Male,0,No,Yes,12,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,Yes,Two year,No,Credit card,78.47,930.25,0
CUST00128,Female,0,No,No,55,Yes,No phone service,DSL,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,26.82,1494.62,0
CUST00129,Female,0,No,No,58,Yes,No,DSL,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,68.44,3961.34,1
CUST00130,Female,1,Yes,No,31,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.29,3042.98,0
CUST00131,Male,0,No,Yes,53,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Two year,No,Credit card,45.62,2436.63,0
CUST00132,Male,0,No,Yes,1,Yes,No phone service,No,No internet service,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,85.35,75.58,0
CUST00133,Male,0,No,No,36,No,Yes,DSL,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,51.52,1841.48,0
CUST00134,Male,0,Yes,No,32,Yes,Yes,No,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,106.22,3404.05,0
CUST00135,Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,56.33,18.59,0
CUST00136,Male,1,Yes,No,27,Yes,No,DSL,Yes,No,No internet service,No,No,Yes,One year,Yes,Bank transfer,24.55,682.55,0
CUST00137,Male,1,Yes,No,16,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,78.23,1241.22,1
CUST00138,Male,0,No,No,56,Yes,No,No,No internet service,No,No,Yes,Yes,Yes,One year,No,Credit card,24.58,1368.58,0
CUST00139,Male,1,No,No,69,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,No,Two year,Yes,Electronic check,41.57,2879.83,0
CUST00140,Female,1,Yes,Yes,51,Yes,Yes,DSL,No,No,No internet service,No internet service,No,No,Two year,Yes,Electronic check,70.14,3563.32,0
CUST00141,Male,0,No,No,43,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card,99.33,4264.21,0
CUST00142,Female,1,Yes,No,46,Yes,Yes,No,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,52.01,2394.59,0
CUST00143,Female,0,Yes,No,12,Yes,Yes,No,Yes,No,No internet service,No internet service,No,No,One year,Yes,Mailed check,48.93,576.84,0
CUST00144,Female,0,Yes,Yes,29,Yes,Yes,DSL,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.3,888.72,0
CUST00145,Male,0,Yes,No,65,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,Yes,Two year,No,Mailed check,78.57,5087.83,0
CUST00146,Male,0,No,Yes,52,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No,No,Two year,Yes,Mailed check,73.25,3827.86,0
CUST00147,Male,1,Yes,Yes,17,No,No,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,One year,Yes,Mailed check,20.89,354.54,0
CUST00148,Male,0,No,No,27,Yes,No,DSL,No internet service,No,No,Yes,No,No internet service,One year,Yes,Electronic check,90.29,2456.71,0
CUST00149,Female,0,Yes,No,3,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,No,One year,No,Bank transfer,66.04,193.29,0
CUST00150,Male,0,No,No,41,No,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,48.91,2018.07,0
CUST00151,Male,1,Yes,Yes,5,No,No,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,Two year,No,Electronic check,91.08,440.99,0
CUST00152,Male,1,Yes,No,8,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,101.18,791.65,0
CUST00153,Male,0,Yes,Yes,19,Yes,No phone service,No,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Electronic check,79.71,1508.53,0
CUST00154,Male,0,Yes,No,37,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,29.44,1070.89,0
CUST00155,Female,0,Yes,Yes,67,Yes,No,DSL,Yes,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,110.58,7408.32,0
CUST00156,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No internet service,One year,Yes,Mailed check,21.78,1072.78,0
CUST00157,Female,0,No,No,59,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No,No,Two year,No,Credit card,40.93,2399.57,0
CUST00158,Male,0,No,Yes,12,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,46.44,554.2,0
CUST00159,Female,0,Yes,Yes,41,No,No,No,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,57.0,2353.44,0
CUST00160,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,55.55,3724.48,1
CUST00161,Male,0,Yes,No,24,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,109.9,2637.4,0
CUST00162,Female,0,No,No,30,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,99.61,2994.07,0
CUST00163,Female,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Electronic check,40.14,457.0,0
CUST00164,Female,0,No,Yes,63,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Bank transfer,115.41,7283.01,0
CUST00165,Male,0,No,Yes,60,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Electronic check,56.23,3363.95,0
CUST00166,Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,One year,No,Electronic check,41.85,2157.55,0
CUST00167,Male,0,Yes,Yes,25,Yes,Yes,DSL,No,No,No internet service,No,Yes,No internet service,One year,No,Electronic check,114.57,2856.11,0
CUST00168,Male,0,Yes,No,60,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,No,One year,No,Electronic check,77.19,4647.44,0
CUST00169,Female,0,Yes,Yes,9,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,78.97,708.36,0
CUST00170,Female,0,Yes,No,11,No,No,No,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,85.6,951.58,0
CUST00171,Male,0,Yes,No,21,Yes,No,No,Yes,No,No internet service,No,No,Yes,One year,Yes,Electronic check,82.52,1743.91,0
CUST00172,Male,0,No,No,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,82.99,4320.2,0
CUST00173,Female,1,No,No,20,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,20.2,391.5,0
CUST00174,Female,0,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,Two year,No,Electronic check,88.57,3012.12,0
CUST00175,Female,0,No,No,70,Yes,No,Fiber optic,No,No internet service,No,No internet service,No,No,One year,Yes,Credit card,94.21,6593.57,0
CUST00176,Male,1,Yes,Yes,26,Yes,Yes,No,Yes,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,22.69,595.54,1
CUST00177,Male,0,Yes,Yes,59,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Mailed check,82.45,4878.04,0
CUST00178,Male,0,No,No,46,Yes,No,No,No,No,No internet service,No,Yes,Yes,Two year,No,Bank transfer,46.47,2118.93,0
CUST00179,Male,0,Yes,Yes,65,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,82.83,5376.99,0
CUST00180,Male,0,Yes,No,14,Yes,No,No,No,No,Yes,Yes,No,No,Two year,Yes,Credit card,46.49,660.93,0
